tokens,manual_tag,reason,Multitag,tags,,
Iraga|NNP,no_tag,"named entity, beyond our scope",FALSE,,,0
kapitbahayan|NNC,location,,FALSE,,,
liwanag|NNC,MISC,abstract,FALSE,,,
talahiban|NNC,location,,FALSE,,,
tinapay|NNC,food,,FALSE,,,
pintuan|NNC,location,,FALSE,,,
One|NNP,no_tag,,FALSE,,,
habilin|NNC,no_tag,verb,FALSE,,,
Ningning|NNP,no_tag,,FALSE,,,
lalim|NNC,MISC,abstract measurement,FALSE,,,
Pogi|NNP,no_tag,,FALSE,,,
pagsisigaw|NNC,no_tag,verb,FALSE,,,
klase|NNC,"event,MISC",class in classroom or class as in low-class high-class etc,TRUE,,,
Iriga|NNP,no_tag,,FALSE,,,
eskenita|NNC,location,,FALSE,,,
kwentong|NNC_CCP,MISC,abstract,FALSE,,,
nganga|NNC,object,the chewy thing,FALSE,,,
saway|NNC,no_tag,verb,FALSE,tags,,
pagtatanim|NNC,gerund,,FALSE,administration,,
damdamin|NNC,emotion,,FALSE,aim,,
Okay|NNP,no_tag,,FALSE,,,
awiting|NNC_CCP,MISC,abstract,FALSE,animal,,
alukaba|NNC,body part,cebuano for eggshell,FALSE,consequence,,
plano|NNC,MISC,abstract,FALSE,event,,
Dugo|NNP,no_tag,,FALSE,,,
pagsasaayos|NNC,no_tag,verb,FALSE,location,,
hantik|NNC,animal,,FALSE,object,,
Sabado|NNP,no_tag,,FALSE,,,
maiilap|NNC,no_tag,adjective,FALSE,organization,,
pagpapaliwang|NNC,no_tag,verb,FALSE,person,,
panloloko|NNC,no_tag,verb,FALSE,,,
ulalo|NNC,animal,,FALSE,gerund,,
pawikan|NNC,animal,,FALSE,emotion,,
baboy|NNC,animal,,FALSE,mythical creature,,
ipa|NNC,food,,FALSE,body part,,
silbi|NNC,MISC,abstract,FALSE,food,,
Balatik|NNP,no_tag,,FALSE,,,
Umang|NNP,no_tag,,FALSE,,,
mama|NNC,person,,FALSE,,,
Hehehe|NNP,no_tag,,FALSE,,,
bulawbulaw|NNC,animal,,FALSE,,,
Asan|NNP,no_tag,,FALSE,,,
Bakasyon|NNP,no_tag,,FALSE,,,
butil|NNC,food,use case,FALSE,,,
Manong|NNP,no_tag,,FALSE,,,
sambayanan|NNC,organization,,FALSE,,,
Tay|NNP,no_tag,,FALSE,,,
State|NNP,no_tag,,FALSE,,,
pato|NNC,animal,,FALSE,,,
Wheew|NNP,no_tag,,FALSE,,,
kalinisan|NNC,MISC,abstract,FALSE,,,
manokan|NNC,location,,FALSE,,,
tilapya|NNC,"animal,food",use case dependent,TRUE,,,
Inday|NNP,no_tag,,FALSE,,,
alkohol|NNC,object,closest we have ,FALSE,,,
kanta|NNC,"no_tag,gerund",use case dependent,TRUE,,,
Bisel|NNP,no_tag,,FALSE,,,
Krassshh|NNP,no_tag,,FALSE,,,
pagkabahala|NNC,"no_tag,emotion",verb,FALSE,,,
Donna|NNP,no_tag,,FALSE,,,
kaninang|NNC_CCP,no_tag,adverb,FALSE,,,
oyayi|NNC,MISC,abstract,FALSE,,,
tawag|NNC,"gerund,no_tag",use case dependent,TRUE,,,
O.|NNPA,no_tag,interjection,FALSE,,,
Nila|NNP,no_tag,,FALSE,,,
pagmamayabang|NNC,no_tag,verb,FALSE,,,
Parasurat|NNP,no_tag,,FALSE,,,
Hmmm|NNP,no_tag,,FALSE,,,
iskwe|NNC,MISC,abstract game,FALSE,,,
korona|NNC,object,,FALSE,,,
heto|NNC,no_tag,not an entity,FALSE,,,
takot|NNC,"emotion,no_tag",adjective,TRUE,,,
pananim|NNC,object,,FALSE,,,
Huo|NNP,no_tag,,FALSE,,,
San|NNP,no_tag,,FALSE,,,
Lita|NNP,no_tag,,FALSE,,,
pagod|NNC,no_tag,adjective,FALSE,,,
palaisipan|NNC,no_tag,verb,FALSE,,,
abalang|NNC_CCP,no_tag,adjective,FALSE,,,
Hinarang|NNP_CCP,no_tag,verb,FALSE,,,
Unti|NNP,no_tag,,FALSE,,,
Nene|NNP,no_tag,,FALSE,,,
Philippines|NNP,no_tag,,FALSE,,,
kalamansi|NNC,food,,FALSE,,,
tuba|NNC,food,,FALSE,,,
kabarangay|NNC,person,,FALSE,,,
Neurons|NNP,no_tag,,FALSE,,,
biyahe|NNC,event,,FALSE,tags,,
Hmp|NNP,no_tag,,FALSE,,,
Payapang|NNP_CCP,no_tag,adjective,FALSE,,,
Kulisap|NNP,no_tag,,FALSE,,,
inilinya|NNC,no_tag,verb,FALSE,administration,,
Susie|NNP,no_tag,,FALSE,,,
paghagis|NNC,no_tag,verb,FALSE,aim,,
bigas|NNC,food,,FALSE,animal,,
Edan|NNP,no_tag,,FALSE,,,
kabog|NNC,no_tag,verb,FALSE,consequence,,
mangiyak|NNC,no_tag,verb,FALSE,event,,
samang|NNC_CCP,no_tag,adverb,FALSE,location,,
Talisay|NNP,no_tag,,FALSE,,,
Tara|NNP,no_tag,,FALSE,,,
kaklase|NNC,person,,FALSE,object,,
teacher|NNC,person,,FALSE,organization,,
inahin|NNC,animal,,FALSE,person,,
magkakapatid|NNC,organization,,FALSE,,,
pasensya|NNC,MISC,abstract ,FALSE,gerund,,
armas|NNC,object,,FALSE,emotion (pakiramdam),,
taon|NNC,event,,FALSE,mythical creature,,
pagkauhaw|NNC,emotion,,FALSE,body part,,
karamdaman|NNC,emotion,,FALSE,food,,
sanga|NNC,object,,FALSE,,,
Sama|NNP,no_tag,,FALSE,,,
Resty|NNP,no_tag,,FALSE,,,
Tamsi|NNP,no_tag,,FALSE,,,
Tikay|NNP,no_tag,,FALSE,,,
paliwanang|NNC_CCP,no_tag,verb,FALSE,,,
Tay|NNC,person,common nickname,FALSE,,,
mamumutol|NNC,person,,FALSE,,,
Facemask|NNP,no_tag,,FALSE,,,
Tribo|NNP,no_tag,,FALSE,,,
Ingkong|NNP,no_tag,,FALSE,,,
pagmamakaawa|NNC,no_tag,verb,FALSE,,,
The|NNP,no_tag,,FALSE,,,
Bayi|NNP,no_tag,,FALSE,,,
tanod|NNC,person,,FALSE,,,
kokopyahin|NNC,no_tag,verb,FALSE,,,
bigla|NNC,no_tag,adverb,FALSE,,,
barko|NNC,object,,FALSE,,,
Buga|NNP,no_tag,,FALSE,,,
Pagtatanim|NNP,no_tag,,FALSE,,,
parangal|NNC,object,,FALSE,,,
kuliling|NNC,MISC,abstract sound,FALSE,,,
Caloy|NNP,no_tag,,FALSE,,,
Tumahimik|NNP,no_tag,,FALSE,,,
Oh|NNP,no_tag,,FALSE,,,
libo|NNC,MISC,abstract measurement,FALSE,,,
akda|NNC,MISC,abstract,FALSE,,,
multong|NNC_CCP,mythical creature,,FALSE,,,
Manay|NNP,no_tag,,FALSE,,,
libro|NNC,object,,FALSE,,,
Kokoy|NNP,no_tag,,FALSE,,,
Lumukso|NNP,no_tag,,FALSE,,,
pagpapatuli|NNC,gerund,,FALSE,,,
amoy|NNC,MISC,abstract sense,FALSE,,,
CoVully|NNP,no_tag,,FALSE,,,
Takot|NNC,no_tag,adjective,FALSE,,,
regalo|NNC,object,,FALSE,,,
pamasahe|NNC,object,,FALSE,,,
suka|NNC,food,,FALSE,,,
Kalubihan|NNP,no_tag,,FALSE,,,
Biyernes|NNP,no_tag,,FALSE,,,
Yang|NNC_CCP,no_tag,verb,FALSE,,,
sili|NNC,food,,FALSE,,,
A|NNP,no_tag,,FALSE,,,
Maggy|NNP,no_tag,,FALSE,,,
torotot|NNC,object,,FALSE,,,
Gumapang|NNP_CCP,no_tag,verb,FALSE,,,
Ngingiti|NNP,no_tag,,FALSE,,,
kasagutan|NNC,MISc,abstract,FALSE,,,
bayabas|NNC,food,,FALSE,tags,,
Regalo|NNP,no_tag,,FALSE,,,
Bilis|NNP,no_tag,,FALSE,,,
malunggay|NNC,food,,FALSE,administration,,
asa|NNC,gerund,,FALSE,aim,,
paborito|NNC,no_tag,adjective,TRUE,animal,,
Basa|NNP,no_tag,,FALSE,,,
ulap|NNC,MISC,not an object,FALSE,consequence,,
aw|NNC,MISC,onomatopoeia,FALSE,event,,
papatalong|NNC_CCP,no_tag,adjective,FALSE,location,,
suso|NNC,animal,,FALSE,object,,
A.|NNPA,no_tag,interjection,FALSE,,,
kwento|NNC,"no_tag, MISC",verb or abstract,TRUE,organization,,
Nagbubukas|NNP,no_tag,,FALSE,,,
shampoo|NNC,object,,FALSE,person,,
kaisa|NNC,no_tag,adjective,FALSE,,,
giya|NNC,MISC,abstract guide,FALSE,gerund,,
MARTIN|NNPA,no_tag,named entity,FALSE,,,
bolang|NNC_CCP,object,,FALSE,emotion,,
Ayokong|NNP_CCP,no_tag,adverb,FALSE,,,
tingin|NNC,gerund,all used as a noun,FALSE,mythical creature,,
kuko|NNC,body part,,FALSE,body part,,
katwiran|NNC,no_tag,verb,FALSE,food,,
tunog|NNC,MISC,abstract,FALSE,,,
Anopol|NNP,no_tag,,FALSE,,,
Ate|NNP,no_tag,,FALSE,,,
Magdodrowing|NNP,no_tag,,FALSE,,,
pagkatuto|NNC,gerund,,FALSE,,,
obrang|NNC_CCP,object,,FALSE,,,
pagpatuloy|NNC,no_tag,verb,FALSE,,,
Duguduuuu|NNP,no_tag,,FALSE,,,
Tayo|NNP,no_tag,,FALSE,,,
sitsirya|NNC,food,,FALSE,,,
Hamon|NNP,no_tag,,FALSE,,,
paghakbang|NNC,gerund,,FALSE,,,
aani|NNC,no_tag,verb,FALSE,,,
Words|NNP,no_tag,,FALSE,,,
Roxas|NNP,no_tag,,FALSE,,,
kuwarto|NNC,location,,FALSE,,,
Nagpalipat|NNP,no_tag,,FALSE,,,
banta|NNC,MISC,abstract,FALSE,,,
pagtagaktak|NNC,event,use case sa ulan,FALSE,,,
naku|NNP,no_tag,interjection,FALSE,,,
sinaing|NNC_CCP,food,,FALSE,,,
hamong|NNC_CCP,MISC,abstract,FALSE,,,
Sherlock|NNP,no_tag,,FALSE,,,
Yan|NNC,no_tag,"demonstrative noun, panturo",FALSE,,,
Tongtong|NNP_CCP,no_tag,named entity,FALSE,,,
ilog|NNC,location,,FALSE,,,
baryo|NNC,location,,FALSE,,,
Kasalanan|NNP,no_tag,,FALSE,,,
baluktot|NNC,no_tag,adjective,FALSE,,,
Kamaligan|NNP,no_tag,,FALSE,,,
kalangitan|NNC,location,,FALSE,,,
gubat|NNC,location,,FALSE,,,
paningin|NNC,gerund,,FALSE,,,
salawal|NNC,object,,FALSE,,,
paika|NNC,no_tag,adverb,FALSE,,,
daya|NNC,no_tag,adjective,FALSE,,,
pakatapos|NNC,no_tag,adverb,FALSE,,,
maki|NNC,no_tag,verb,FALSE,,,
tawanan|NNC,gerund,,FALSE,,,
mundong|NNC_CCP,location,,FALSE,,,
Tagu|NNP,no_tag,,FALSE,,,
Agta|NNP,no_tag,,FALSE,,,
Ganiyan|NNP,no_tag,,FALSE,,,
Kanor|NNP,no_tag,,FALSE,,,
Zoo|NNP,no_tag,,FALSE,,,
pagluto|NNC,gerund,,FALSE,tags,,
Sigurado|NNP,no_tag,,FALSE,,,
iyak|NNC,"no_tag,gerund",use case dependent,TRUE,administration,,
aasong|NNC_CCP,no_tag,verb,FALSE,aim,,
siyato|NNC,MISC,abstract game,FALSE,animal,,
takbo|NNC,"gerund,MISC",,TRUE,consequence,,
halakhakan|NNC,gerund,,FALSE,event,,
Niyakap|NNP,no_tag,,FALSE,,,
Percy|NNP,no_tag,,FALSE,,,
lumba|NNC,animal,lumba lumba is dolphin,FALSE,location,,
pataas|NNC,no_tag,adverb,FALSE,object,,
paibabaw|NNC,no_tag,adverb,FALSE,organization,,
pabango|NNC,object,,FALSE,person,,
E|NNP,no_tag,,FALSE,,,
Yumuyugyog|NNP,no_tag,,FALSE,,,
Linggo|NNP,no_tag,,FALSE,,,
sama|NNC,no_tag,"adverb,verb",FALSE,,,
RTI|NNPA,no_tag,named entity,FALSE,,,
balyena|NNC,animal,,FALSE,gerund,,
Wonderful|NNP,no_tag,,FALSE,,,
Ingles|NNP,no_tag,,FALSE,,,
Paborito|NNP,no_tag,,FALSE,,,
Ondoy|NNP,no_tag,,FALSE,,,
galyon|NNC,object,,FALSE,emotion,,
tsinelas|NNC,object,,FALSE,mythical creature,,
pamimingwit|NNC,object,,FALSE,body part,,
Ulang|NNC_CCP,no_tag,named entity,FALSE,,,
Pahihiramin|NNP,no_tag,,FALSE,,,
donut|NNC,food,,FALSE,food,,
Tinutupi|NNP,no_tag,,FALSE,,,
Bakunawa|NNP,no_tag,,FALSE,,,
Tongtong|NNP,no_tag,,FALSE,,,
Wooooosh|NNP,no_tag,,FALSE,,,
Mediko|NNP,no_tag,,FALSE,,,
panaginip|NNC,event,,FALSE,,,
taka|NNC,no_tag,adjective,FALSE,,,
pantalan|NNC,location,,FALSE,,,
kagandahan|NNC,MISC,abstract,FALSE,,,
Maria|NNP,no_tag,,FALSE,,,
Tamtam|NNC,no_tag,named_entity (person),FALSE,,,
Paglalampaso|NNP,no_tag,,FALSE,,,
katunayan|NNC,MISC,,FALSE,,,
bati|NNC,no_tag,verb,FALSE,,,
Tatangkad|NNP,no_tag,,FALSE,,,
tatawagin|NNC,no_tag,verb,FALSE,,,
prutas|NNC,food,,FALSE,,,
direksyon|NNC,MISC,abstract,FALSE,,,
bulong|NNC,no_tag,verb,FALSE,,,
Hihintayin|NNP,no_tag,,FALSE,,,
iskuter|NNC,object,,FALSE,,,
pagwawala|NNC,no_tag,verb,FALSE,,,
pating|NNC,animal,,FALSE,,,
Sampuk|NNP,no_tag,,FALSE,,,
bakurang|NNC_CCP,location,,FALSE,,,
Ador|NNP,no_tag,,FALSE,,,
Pawikan|NNC,animal,type of turtle,FALSE,,,
baon|NNC,food,baon sa eskwela yung context,FALSE,,,
Pa|NNP,no_tag,,FALSE,,,
Balabaw|NNC,no_tag,named_entity (person),FALSE,,,
pasa|NNC,body part,,FALSE,,,
Dayday|NNP,no_tag,,FALSE,,,
Nina|NNP,no_tag,,FALSE,,,
mukha|NNC,body part,,FALSE,,,
hanging|NNC_CCP,event,weather hanging habagat,FALSE,,,
Hannibal|NNP,no_tag,,FALSE,,,
Panay|NNP,no_tag,,FALSE,,,
ihip|NNC,gerund,,FALSE,,,
palasyo|NNC,location,,FALSE,,,
Hmmmp|NNP,no_tag,,FALSE,,,
poso|NNC,object,,FALSE,,,
palayan|NNC,location,,FALSE,,,
pasamano|NNC,location,,FALSE,,,
Magkaibigan|NNP,organization,more than one person,FALSE,,,
aalala|NNC,no_tag,verb,FALSE,tags,,
pagsalo|NNC,no_tag,verb,FALSE,administration,,
Papalubog|NNP,no_tag,,FALSE,,,
kwarto|NNC,location,,FALSE,aim,,
Akala|NNP,no_tag,,FALSE,,,
Reklamo|NNC,no_tag,verb,FALSE,,,
pahiwatig|NNC,MISC,sign,FALSE,animal,,
modelo|NNC,person,role model,FALSE,consequence,,
Narrator|NNP,no_tag,,FALSE,,,
Ihipan|NNP,no_tag,,FALSE,,,
Nay|NNCA,person,,FALSE,,,
kalabaw|NNC,animal,,FALSE,event,,
gulang|NNC,MISC,abstract measurement,FALSE,location,,
silip|NNC,no_tag,verb,FALSE,object,,
papelastika|NNC,object,,FALSE,organization,,
Kara|NNP,no_tag,,FALSE,,,
Wanda|NNP,no_tag,,FALSE,,,
Pancit|NNP,pagkain,common food name,FALSE,,,
kararaw|NNC,object,looks like a container,FALSE,person,,
Sitang|NNC_CCP,no_tag,named entity,FALSE,,,
Pagpasok|NNC,no_tag,verb,FALSE,,,
impeksyon|NNC,event,use case,FALSE,,,
Ididikit|NNP,no_tag,,FALSE,,,
Dagling|NNP,no_tag,,FALSE,,,
ara|NNP,no_tag,not an entity,FALSE,gerund,,
pandan|NNC,food,,FALSE,emotion,,
Masarap|NNP,no_tag,,FALSE,,,
agimat|NNC,object,,FALSE,mythical creature,,
pagtulong|NNC,no_tag,verb,FALSE,body part,,
kuwento|NNC,MISC,abstract,FALSE,food,,
Grrrrr|NNP,no_tag,,FALSE,,,
Edu|NNP,no_tag,,FALSE,,,
anyaya|NNC,no_tag,verb,FALSE,,,
Nilo|NNP,no_tag,,FALSE,,,
hagikhik|NNC,gerund,,FALSE,,,
kabundukan|NNC,location,,FALSE,,,
Pandemya|NNP,no_tag,,FALSE,,,
Lingon|NNP,no_tag,,FALSE,,,
tainga|NNC,body part,,FALSE,,,
halin|NNC,no_tag,adverb,FALSE,,,
korales|NNC,object,,FALSE,,,
ganagan|NNC,object,compost,FALSE,,,
kapeng|NNC_CCP,food,,FALSE,,,
presyo|NNC,MISC,abstract measure,FALSE,,,
Taon|NNC,event,kadikit yung bagong taon,FALSE,,,
pormasyon|NNC,MISC,abstract order,FALSE,,,
Gugurang|NNP_CCP,no_tag,named entity,FALSE,,,
Babantayan|NNP,no_tag,,FALSE,,,
duyan|NNC,"object,location",use case,TRUE,,,
uwi|NNC,"no_tag,gerund",verb,FALSE,,,
Yehey|NNP,no_tag,,FALSE,,,
Awooo|NNP,no_tag,,FALSE,,,
nayon|NNC,location,,FALSE,,,
saging|NNC,food,,FALSE,,,
Ngiyaw|NNP,no_tag,,FALSE,,,
panggalang|NNC_CCP,MISC,abstract,FALSE,,,
karosa|NNC,object,,FALSE,,,
Grabe|NNP,no_tag,,FALSE,,,
habal|NNC,object,from habal-habal,FALSE,,,
Lisa|NNC,no_tag,named_entity (person),FALSE,,,
Mila|NNP,no_tag,,FALSE,,,
University|NNP,no_tag,,FALSE,,,
opo|NNC,no_tag,not an entity,FALSE,,,
dahang|NNC_CCP,no_tag,"adjective, from dahan-dahan",FALSE,,,
Citrofortunella|NNP,no_tag,,FALSE,,,
pamaba|NNC,object,some kind of vehicle,FALSE,,,
Hininga|NNP,no_tag,,FALSE,,,
siguraduhing|NNC_CCP,no_tag,verb,FALSE,,,
kwak|NNC,MISC,onomatopeia,FALSE,,,
paglampas|NNC,gerund,,FALSE,,,
yero|NNC,object,,FALSE,tags,,
Kumunot|NNP,no_tag,,FALSE,,,
managat|NNC,animal,fish,FALSE,administration,,
Hanga|NNP,no_tag,,FALSE,,,
tuko|NNC,animal,,FALSE,aim,,
Bulaga|NNP,no_tag,,FALSE,,,
Sampalok|NNP,no_tag,,FALSE,,,
Ma|NNP,no_tag,,FALSE,,,
Nobyembre|NNP,no_tag,,FALSE,,,
Kumaripas|NNP,no_tag,,FALSE,,,
maykatiwasayan|NNC,MISC,,FALSE,animal,,
bahalang|NNC_CCP,no_tag,not an entity,FALSE,consequence,,
kesa|NNC,no_tag,not an entity,FALSE,event,,
damuhan|NNC,location,,FALSE,location,,
Batuan|NNP,no_tag,,FALSE,,,
Paalis|NNP,no_tag,,FALSE,,,
telebisyon|NNC,object,,FALSE,object,,
Iraya|NNP,no_tag,,FALSE,,,
Aw|NNP,no_tag,,FALSE,,,
Barbara|NNP,no_tag,,FALSE,,,
Paratang|NNC,no_tag,verb,FALSE,,,
Diyos|NNP,no_tag,,FALSE,,,
kamarin|NNC,location,,FALSE,organization,,
Kamayanan|NNC,Location,ang munitng kamayanan,FALSE,,,
Kiko|NNC,no_tag,named_entity (person),FALSE,,,
Olin|NNP,no_tag,,FALSE,,,
disenyo|NNC,"MISC,person",taga-,TRUE,person,,
Sing|NNP,no_tag,,FALSE,,,
Baka|NNP,no_tag,,FALSE,,,
Gustung|NNP,no_tag,,FALSE,,,
paalam|NNC,"no_tag,gerund",verb,FALSE,,,
Florida|NNP,no_tag,,FALSE,,,
Tamtam|NNP,no_tag,,FALSE,,,
Filipino|NNP,no_tag,,FALSE,,,
Pangga|NNP,no_tag,,FALSE,,,
matatanda|NNC,person,,FALSE,gerund,,
dinrowing|NNC_CCP,object,,FALSE,emotion,,
Neeeeey|NNP,no_tag,,FALSE,,,
Oy|NNP,no_tag,,FALSE,,,
alay|NNC,no_tag,verb,FALSE,mythical creature,,
krayola|NNC,object,,FALSE,body part,,
ospital|NNC,location,,FALSE,food,,
kumulog|NNC,no_tag,verb,FALSE,,,
kuha|NNC,gerund,,FALSE,,,
Woooooosh|NNP,no_tag,,FALSE,,,
likuran|NNC,location,,FALSE,,,
Oyayi|NNP,no_tag,,FALSE,,,
ha|NNCA,no_tag,not an entity,FALSE,,,
Blag|NNP,no_tag,,FALSE,,,
hapunan|NNC,"food,event",,TRUE,,,
kasya|NNC,no_tag,adjective,FALSE,,,
alalahanin|NNC,no_tag,verb,FALSE,,,
baunan|NNC,object,,FALSE,,,
Napakunot|NNP,no_tag,,FALSE,,,
Hmm|NNP,no_tag,,FALSE,,,
papag|NNC,"object,location",both are true for a single sentence,TRUE,,,
Masaya|NNP,no_tag,,FALSE,,,
Manang|NNP,no_tag,,FALSE,,,
pamimili|NNC,no_tag,verb,FALSE,,,
Kawawa|NNP,no_tag,,FALSE,,,
Pabalik|NNP,no_tag,,FALSE,,,
Oktubre|NNP,no_tag,,FALSE,,,
rason|NNC,MISC,abstract,FALSE,,,
meryenda|NNC,"food,event",separate use cases,FALSE,,,
toyo|NNC,food,,FALSE,,,
butones|NNC,object,,FALSE,,,
Lani|NNP,no_tag,,FALSE,,,
kuwatro|NNC,location,,FALSE,,,
bituing|NNC_CCP,MISC,celestial body,FALSE,,,
bayong|NNC,object,,FALSE,,,
Helen|NNP,no_tag,,FALSE,,,
gulay|NNC,food,,FALSE,,,
Bentong|NNC_CCP,no_tag,named entity,FALSE,,,
kabinet|NNC,object,,FALSE,,,
aalalang|NNC_CCP,no_tag,verb,FALSE,,,
Sabay|NNC,no_tag,adverb,FALSE,,,
Kumusta|NNP,no_tag,,FALSE,,,
magkaibigan|NNC,person,,FALSE,,,
kanin|NNC,food,,FALSE,,,
marong|NNC_CCP,no_tag,not an entity,FALSE,,,
pakinabang|NNC,"MISC,no_tag",verb except for one use case,FALSE,,,
duwende|NNC,mythical creature,,FALSE,,,
Hinga|NNP,no_tag,,FALSE,,,
garapon|NNC,object,,FALSE,tags,,
prito|NNC,no_tag,adjective,FALSE,administration,,
Marie|NNP,no_tag,,FALSE,,,
Kikik|NNP,no_tag,,FALSE,,,
Sinapaw|NNP,no_tag,,FALSE,,,
Talasalitaan|NNP,no_tag,,FALSE,,,
hamon|NNC,"no_tag,gerund,misc",verb,FALSE,aim,,
Sitang|NNC,no_tag,named_entity (person),FALSE,,,
Ikaw|NNP,no_tag,,FALSE,,,
plato|NNC,object,,FALSE,animal,,
Sumagang|NNC_CCP,no_tag,named entity,FALSE,,,
Dok|NNP,no_tag,,FALSE,,,
simangot|NNC,no_tag,verb,FALSE,consequence,,
nakapila|NNC,no_tag,verb,FALSE,event,,
bangon|NNC,no_tag,verb,FALSE,location,,
parte|NNC,"object,location",use case based,TRUE,object,,
papaya|NNC,food,,FALSE,organization,,
tularan|NNC,no_tag,verb,FALSE,person,,
agawan|NNC,no_tag,verb,FALSE,,,
niyogan|NNC,location,,FALSE,gerund,,
Langit|NNP,no_tag,,FALSE,,,
palay|NNC,food,,FALSE,emotion,,
Tikboy|NNP,no_tag,,FALSE,,,
Indica|NNP,no_tag,,FALSE,,,
Aha|NNP,no_tag,,FALSE,,,
Hiwa|NNP,no_tag,,FALSE,,,
kapal|NNC,MISC,abstract measurement,FALSE,body part,,
balik|NNC,no_tag,verb,FALSE,food,,
Aray|NNP,no_tag,,FALSE,,,
hinaharap|NNC,no_tag,verb,FALSE,,,
Marga|NNP,no_tag,,FALSE,,,
Pakiusap|NNC,no_tag,verb,FALSE,,,
damong|NNC_CCP,object,,FALSE,,,
Gabay|NNP,no_tag,,FALSE,,,
mesa|NNC,object,,FALSE,,,
Advancing|NNP,no_tag,,FALSE,,,
Tumango|NNP,no_tag,,FALSE,,,
pangalan|NNC,MISC,abstract property,FALSE,,,
Titay|NNP,no_tag,,FALSE,,,
Mama|NNP,no_tag,,FALSE,,,
liwanang|NNC_CCP,MISC,not object,FALSE,,,
Limon|NNP,no_tag,,FALSE,,,
katandaan|NNC,MISC,abstract measurement,FALSE,,,
pangarap|NNC,MISC,abstract,FALSE,,,
atensyon|NNC,MISC,abstract,FALSE,,,
gutom|NNC,emotion,,FALSE,,,
lantang|NNC_CCP,no_tag,adjective,FALSE,,,
kumidlat|NNC,no_tag,verb,FALSE,,,
gabi|NNC,event,,FALSE,,,
kasiyahan|NNC,emotion,,FALSE,,,
tokayo|NNC,MISC,abstract nickname,FALSE,,,
Ayoko|NNP,no_tag,,FALSE,,,
Cimarron|NNP,no_tag,,FALSE,,,
markang|NNC_CCP,object,,FALSE,,,
nyo|NNCA,no_tag,pronoun,FALSE,,,
linga|NNC,no_tag,verb,FALSE,,,
pamumuhay|NNC,event,,FALSE,,,
paslit|NNC,person,,FALSE,,,
paggalang|NNC,gerund,,FALSE,,,
bituwin|NNC,MISC,celestial body,FALSE,,,
Tumatalon|NNP,no_tag,,FALSE,,,
Dahan|NNP,no_tag,,FALSE,,,
buhangin|NNC,object,,FALSE,,,
Kambang|NNP,no_tag,,FALSE,,,
pangangatawan|NNC,body part,,FALSE,tags,,
radyong|NNC_CCP,object,,FALSE,administration,,
Health|NNP,no_tag,,FALSE,,,
pakiusap|NNC,no_tag,verb,FALSE,aim,,
kalayuan|NNC,"MISC,no_tag",adjective on some use cases,TRUE,animal,,
tingting|NNC,object,,FALSE,consequence,,
Talaga|NNP,no_tag,,FALSE,,,
eskwelahan|NNC,location,,FALSE,event,,
Tongtong|NNC,no_tag,named_entity (person),FALSE,,,
Dulis|NNP,no_tag,,FALSE,,,
Magpapraktis|NNP,no_tag,,FALSE,,,
Tatago|NNP,no_tag,,FALSE,,,
panghuhuli|NNC,gerund,,FALSE,location,,
matirhan|NNC,no_tag,verb,FALSE,object,,
kapahamakan|NNC,consequence,,FALSE,organization,,
patay|NNC,no_tag,adjective,FALSE,person,,
pahayag|NNC,no_tag,verb,FALSE,,,
Santa|NNP,no_tag,,FALSE,,,
Tumilaok|NNP,no_tag,,FALSE,,,
in|NNP,no_tag,not a noun,FALSE,gerund,,
inang|NNC_CCP,animal,use case,FALSE,emotion,,
Akay|NNP,no_tag,,FALSE,,,
eroplanong|NNC_CCP,object,,FALSE,mythical creature,,
G.|NNPA,no_tag,named entity,FALSE,,,
internet|NNC,MISC,abstract tech,FALSE,body part,,
Mt.|NNPA,no_tag,named entity,FALSE,,,
sigaw|NNC,no_tag,verb,FALSE,food,,
tora|NNC,object,a toy plane,FALSE,,,
uwi|NNCA,no_tag,verb,FALSE,,,
sabi|NNC,no_tag,verb,FALSE,,,
Bonong|NNP,no_tag,,FALSE,,,
Crossing|NNP,no_tag,,FALSE,,,
pangisda|NNC,object,,FALSE,,,
Titingala|NNP,no_tag,,FALSE,,,
pagtatarabahuhan|NNC,location,,FALSE,,,
pagkakapasa|NNC,MISC,abstract measure,FALSE,,,
Ulang|NNC,no_tag,named_entity (person),FALSE,,,
Ins|NNC,event,only use case is from a glossary that conveniently says what it is,FALSE,,,
Mmmm|NNP,no_tag,,FALSE,,,
pugitang|NNC_CCP,animal,,FALSE,,,
Asia|NNP,no_tag,,FALSE,,,
palayaw|NNC,MISC,abstract,FALSE,,,
wika|NNC,MISC,abstract,FALSE,,,
habulan|NNC,MISC,abstract,FALSE,,,
magkapatid|NNC,organization,,FALSE,,,
miss|NNC,no_tag,verb,FALSE,,,
pagsasama|NNC,gerund,,FALSE,,,
Bawal|NNP,no_tag,,FALSE,,,
Tatay|NNC,person,common nickname,FALSE,,,
katiyakan|NNC,MISC,abstract measure,FALSE,,,
doktora|NNC,person,,FALSE,,,
koronang|NNC_CCP,object,,FALSE,,,
kabutihan|NNC,MISC,abstract,FALSE,,,
paghihirap|NNC,gerund,,FALSE,,,
linggo|NNC,event,,FALSE,,,
umang|NNC_CCP,animal,,FALSE,,,
de-baterya|NNC,no_tag,adjective,FALSE,,,
Titay|NNC,no_tag,named_entity (person),FALSE,,,
marka|NNC,object,,FALSE,,,
