,sentence
618,"""|PMS Tumigil|VBAF muna|RBI si|DTP Islaw|NNP sa|CCT paglalaro|NNC upang|CCB makinig|VBW kay|DTP Luna|NNP .|PMP  
"
619,"""|PMS Madali|RBD lang|RBI ,|PMC Islaw|NNP .|PMP
"
620,"Tuwing|RBW gabi|RBW ,|PMC nag|VBTS -|PMS aabang|VBTF ako|PRS ng|CCB bulalakaw|NNC .|PMP ""|PMS  
"
621,"""|PMS Sabi|VBS ni|DTP Nanay|NNP ,|PMC pag|CCR nakakita|VBTS ka|PRS raw|RBI ng|CCB guhit|NNC ng|CCB liwanag|NNC na|CCP tila|RBM babagsak|VBTF sa|CCT lupa|NNC ,|PMC ipikit|VBOF mo|PRS raw|RBI ang|DTC iyong|PRSP_CCP mga|DTCP mata|NNC at|CCA sabihin|VBOF sa|CCT sarili|NNC ang|DTC gusto|VBS mo.|NNCA ""|PMS Napatingala|VBTS sa|CCT langit|NNC si|DTP Islaw|NNP habang|RBW nagsasalita|VBTR si|DTP Luna|NNP .|PMP
"
622,"Di|RBF nagtagal|VBTS ,|PMC umuwi|VBAF na|CCP si|DTP Luna|NNP .|PMP
"
623,"Nagpaiwan|VBTS sa|CCT tabing|NNC -|PMS dagat|NNC si|DTP Islaw|NNP .|PMP
"
624,"Nagpatuloy|VBTS sa|CCT pagmamasid|NNC sa|CCT langit|NNC si|DTP Islaw|NNP .|PMP
"
625,"Naghintay|VBTS siya|PRS kung|CCR may|VBH susulpot|JJD na|CCP bulalakaw|NNC .|PMP
"
626,"Ngunit|CCT wala|VBN siyang|PRS_CCP nakita|VBTS ni|DTP isang|PRI_CCP guhit|NNC ng|CCB liwanag|NNC .|PMP
"
627,"Naisip|VBTS niyang|PRS_CCP maghintay|VBW na|CCP lamang|RBI sa|CCT susunod|VBTF na|CCP gabi|RBW .|PMP
"
628,"Gabi|RBW -|PMS gabing|RBW_CCP nag|CDB -|PMS abang|JJD_CCP ng|CCB bulalakaw|NNC si|DTP Islaw|NNP .|PMP
"
629,"Kapag|CCR masama|JJD ang|DTC panahon|NNC o|CCT kung|CCR maulan|JJD sa|CCT Balatan|NNC ,|PMC sumasama|VBTR_VBAF siya|PRS sa|CCT kaniyang|PRSP_CCP ama|NNC sa|CCT Iriga|NNP .|PMP
"
630,"Sabi|VBS kasi|CCR ng|CCB tatay|NNC niya|PRS ,|PMC mas|JJCC marami|PRI raw|RBI bituin|NNC o|CCT bulalakaw|NNC sa|CCT tuktok|NNC ng|CCB Bundok|NNP Iriga|NNP .|PMP
"
631,"Ngunit|CCT hindi|RBF pa|RBI rin|RBI nakatagpo|VBTS ng|CCB bulalakaw|NNC si|DTP Islaw|NNP .|PMP
"
632,"Naniwala|VBTS rin|RBI siya|PRS sa|CCT sabi|NNC ng|CCB Nanay|NNC niya|PRS na|CCP mas|JJCC maraming|JJD_CCP bituin|NNC sa|CCT gabi|RBW kapag|CCR malapit|JJD sa|CCT lawa|NNC .|PMP
"
633,"Kung|CCR kaya|CCR ,|PMC nang|RBW sumunod|VBAF na|CCP Sabado|NNP ,|PMC pumunta|VBAF sila|PRP sa|CCT bayan|NNC ng|CCB kaniyang|PRSP_CCP Lola|NNC .|PMP
"
634,"Doon|PRL matatagpuan|VBTF ang|DTC Lawa|NNP ng|CCB Buhi|NNP .|PMP
"
635,"Ngunit|CCT hindi|RBF pa|RBI rin|RBI nakakita|VBTS ng|CCB bulalakaw|NNC si|DTP Islaw|NNP .|PMP
"
636,"Nalungkot|VBTS si|DTP Islaw|NNP .|PMP
"
637,"Wala|VBN siyang|PRS_CCP mahagilap|JJD na|CCP bulalakaw|NNC saan|PRQ man|RBI siya|PRS pumunta|VBAF .|PMP
"
638,"Naisip|VBTS niyang|PRS_CCP sabihan|VBOF si|DTP Luna|NNP na|CCP wala|VBN namang|RBI_CCP bulalakaw|NNC na|CCP nahuhulog|VBTR mula|RBL sa|CCT langit|NNC kung|CCR gabi|RBW .|PMP
"
639,"Isang|PRI_CCP gabi|RBW ,|PMC inabangan|VBTS niya|PRS si|DTP Luna|NNP sa|CCT labas|NNC ng|CCB bahay|NNC nila|PRP .|PMP
"
640,"Gusto|VBS niyang|PRS_CCP malaman|VBW kung|RBK saan|RBQ naghihintay|VBTR ng|CCB bulalakaw|NNC si|DTP Luna|NNP .|PMP
"
641,"Ngunit|CCT halos|JJD tatlong|JJN_CCP gabi|RBW nang|RBW hindi|RBF lumalabas|VBTR_VBAF si|DTP Luna|NNP ,|PMC kaya|CCR ’|PMS t|NNCA napagpasiyahan|VBTS niya|PRS na|CCP pumunta|VBAF sa|CCT bahay|NNC nila|PRP .|PMP  
"
642,"""|PMS Luna|NNP ?|PMQ
"
643,"Luna|NNP ?|PMQ ""|PMS  
"
644,"""|PMS Manay|NNP Belen|NNP ,|PMC nandiyan|VBTS po|RBS ba|RBI si|DTP Luna|NNP ?|PMQ  
"
645,"""|PMS Nakailang|VBTS tawag|NNC na|CCP si|DTP Islaw|NNP ngunit|CCT walang|VBN_CCP sumasagot|VBTR_VBAF ,|PMC kaya|CCR ’|PMS t|NNCA sinilip|VBTS ni|DTP Islaw|NNP ang|DTC loob|NNC ng|CCB bahay|NNC nina|DTPP Luna|NNP .|PMP
"
646,"Dito|PRL niya|PRS nakita|VBTS kung|RBK ano|RBQ ang|DTC ginagawa|VBTR ni|DTP Luna|NNP sa|CCT gabi|RBW …|CDB ""|PMS Hmm|FW …|PMS kaya|CCR pala|NNC hindi|RBF siya|PRS lumalabas|VBTR ,|PMC ""|PMS sambit|NNC ni|DTP Islaw|NNP habang|RBW pinapanood|VBTR si|DTP Luna|NNP na|CCP nagbabasa|VBTR ng|CCB libro|NNC at|CCA gumagawa|VBTR_VBAF ng|CCB assignment|FW kasama|CCB ang|DTC kaniyang|PRSP_CCP Nanay|NNC .|PMP
"
647,"Natigilan|VBTS si|DTP Islaw|NNP sa|CCT kaniyang|PRSP_CCP nakita|VBTS ,|PMC pagdaka|VBW ’|PMS y|FW dahan|FW -|PMS dahang|NNC_CCP naglakad|VBTS palayo|RBD sa|CCT bahay|NNC nina|DTPP Luna|NNP .|PMP
"
648,"Habang|RBW naglalakad|VBTR si|DTP Islaw|NNP sa|CCT tabing|NNC -|PMS dagat|NNC pauwi|NNC sa|CCT kanilang|PRSP_CCP tahanan|NNC ,|PMC muli|RBW siyang|PRS_CCP napatingala|VBTS sa|CCT langit|NNC .|PMP
"
649,"Napansin|VBTS niya|PRS ang|DTC mabituing|JJD_CCP gabi|RBW .|PMP
"
650,"Tila|RBM mga|DTCP alitaptap|NNC na|CCP kumukutikutitap|VBTR_VBAF sa|CCT dilim|NNC .|PMP
"
651,"Nang|RBW marating|VBW ni|DTP Islaw|NNP ang|DTC kanilang|PRSP_CCP bahay|NNC ,|PMC tumungo|VBAF siya|PRS sa|CCT kaniyang|PRSP_CCP silid|NNC .|PMP
"
652,"Naalala|VBTS niya|PRS ang|DTC ginagawa|VBTR ni|DTP Luna|NNP .|PMP
"
653,"Inilabas|VBTS niya|PRS rin|RBI mula|RBL sa|CCT bag|FW ang|DTC kaniyang|PRSP_CCP mga|DTCP libro|NNC .|PMP
"
654,"Tatlong|JJN_CCP gabing|RBW_CCP hindi|RBF lumabas|VBAF ng|CCB bahay|NNC si|DTP Islaw|NNP .|PMP  
"
655,"""|PMS Krrrrrrrrrring|NNP !!!|CDB ""|PMS
"
656,"Tulad|JJC ng|CCB nakagawian|VBTS ,|PMC pagkatapos|VBW marinig|VBW ng|CCB klase|NNC ang|DTC kuliling|NNC ,|PMC hinati|VBOF sila|PRP ni|DTP Teacher|NNP Yolly|NNP sa|CCT dalawang|JJN_CCP linya|NNC ,|PMC at|CCA isa|PRI -|PMS isang|PRI_CCP tinawag|VBOF :|PMS ""|PMS Three|NNP stars|FW ""|PMS ""|PMS One|NNP star|FW ""|PMS ""|PMS Three|NNP stars|FW ""|PMS ""|PMS Two|NNP stars|FW ""|PMS ""|PMS Three|NNP stars|FW ""|PMS ""|PMS Three|NNP stars|FW ""|PMS ""|PMS Two|NNP stars|FW ""|PMS ""|PMS Islaw|VBOF ?|PMQ  
"
657,"""|PMS nakangiting|RBD_CCP tinawag|VBOF ni|DTP Teacher|NNP Yolly|NNP si|DTP Islaw|NNP .|PMP  
"
658,"""|PMS Ano|PRQ po|RBS ,|PMC Teacher|NNP Yolly|NNP ?|PMQ ""|PMS  
"
659,"""|PMS Three|NNP stars|FW ""|PMS
"
660,"Si|DTP Mina|NNP at|CCA Manay|NNP ay|LM nakauwi|VBTS na|CCP galing|RBL sa|CCT Zoo|NNP .|PMP
"
661,"Ako|PRS ay|LM unggoy|NNC ngayon|RBW .|PMP
"
662,"Ako|PRS ay|LM pagong|NNC ngayon|RBW .|PMP
"
663,"Ako|PRS ay|LM elepante|NNC ngayon|RBW .|PMP
"
664,"Isa|PRI akong|PRS_CCP ibon|NNC ngayon|RBW .|PMP
"
665,"Isa|PRI akong|PRS_CCP rhino|NNC ngayon|RBW .|PMP
"
666,"Isa|PRI akong|PRS_CCP kuneho|NNC ngayon|RBW .|PMP
"
667,"Isa|PRI akong|PRS_CCP tigre|NNC ngayon|RBW .|PMP
"
668,"Oras|NNP na|CCP para|CCT matulog|VBW .|PMP
"
669,"Dumating|VBAF si|DTP nanay|NNC para|CCT patayin|VBOF ang|DTC ilaw|NNC .|PMP
"
670,"Iminulat|VBTS ni|DTP Mina|NNP ang|DTC kaniyang|PRSP_CCP mga|DTCP mata|NNC at|CCA sinabing|VBTS ,|PMC ""|PMS Ngayon|RBW ,|PMC Isa|PRI akong|PRS_CCP kuwago|NNC .|PMP  
"
671,"""|PMS Signer|NNP :|PMS Dinesh|NNP Maharjan|NNP .|PMP
"
672,"May|VBH nakita|VBTS si|DTP Muning|NNP na|CCP bagay|NNC na|CCP pagulong|NNC -|PMS gulong|NNC sa|CCT sahig|NNC .|PMP
"
673,"Bilog|JJD ito|PRO .|PMP
"
674,"Pula|NNP ang|DTC kulay|NNC .|PMP
"
675,"Pinulot|VBOF ni|DTP Muning|NNP ang|DTC pulang|JJD_CCP bilog|NNC at|CCA pinagulong|VBRF_CCP -|PMS gulong|NNC sa|CCT sahig|NNC .|PMP
"
676,"Hinila|VBOF niya|PRS ang|DTC buntot|NNC .|PMP
"
677,"Ay|NNP !|PMS
"
678,"Ang|DTC haba|NNC pala|NNC ng|CCB buntot|NNC ng|CCB pulang|JJD_CCP bilog|NNC !|PMS
"
679,"Kinagat|VBTS ni|DTP Muning|NNP ang|DTC buntot|NNC ng|CCB pulang|JJD_CCP bilog|NNC at|CCA umikot|VBAF -|PMS ikot|NNC siya|PRS .|PMP
"
680,"Ay|NNP !|PMS
"
681,"Napuluputan|VBTS si|DTP Muning|NNP !|PMS  
"
682,"""|PMS Muning|NNP ,|PMC rolyo|NNC ito|PRO ng|CCB sinulid|NNC .|PMP
"
683,"Mag|NNP -|PMS ingat|NNC ka|PRS sa|CCT paggamit|NNC nito|PRO .|PMP
"
684,"Tingnan|VBOF mo|PRS ang|DTC nangyari|VBTS .|PMP
"
685,"Napuluputan|VBTR ka|PRS ,|PMC ""|PMS sabi|VBS ni|DTP Ben|NNP .|PMP
"
686,"Lumabas|VBAF sa|CCT balkonahe|NNC si|DTP Muning|NNP .|PMP
"
687,"Nagpahangin|VBTS siya|PRS sa|CCT pasamano|NNC .|PMP  
"
688,"""|PMS Hmmm|NNP ,|PMC ang|DTC presko|JJD dito|PRL !|PMS  
"
689,"""|PMS May|VBH tumahol|VBAF kay|DTP Muning|NNP .|PMP  
"
690,"""|PMS Aw|NNP ,|PMC aw|NNCA ,|PMC aw|NNCA !|PMQ
"
691,"Grrrrr|NNP !|PMS  
"
692,"""|PMS Natakot|VBTS si|DTP Muning|NNP .|PMP
"
693,"Tumakbo|VBAF siya|PRS papasok|RBD .|PMP  
"
694,"""|PMS Ano|PRQ ba|RBI yun|PRO ?|PMQ
"
695,"Grabe|NNP ang|DTC kaba|NNC ko|PRS !|PMS  
"
696,"""|PMS humihingal|VBTR_VBAF na|CCP sabi|VBS ni|DTP Muning|NNP Lumabas|VBAF si|DTP Muning|NNP at|CCA kinausap|VBOF ang|DTC aso|NNC ,|PMC ""|PMS Ako|PRS si|DTP Muning|NNP ,|PMC Anong|PRQ_CCP pangalan|NNC mo|PRS ?|PMQ ""|PMS  
"
697,"""|PMS Ako|PRS si|DTP Edu|NNP .|PMP
"
698,"May|VBH dalawang|JJN_CCP malalaking|JJD_CCP pusa|NNC dito|PRL sa|CCT bahay|NNC .|PMP
"
699,"Kaano|NNP -|PMS ano|PRQ mo|PRS sila|PRP ?|PMQ  
"
700,"""|PMS Baka|NNP nanay|NNC at|CCA tatay|NNC ko|PRS yun|PRO ,|PMC ""|PMS sabi|VBS ni|DTP Muning|NNP .|PMP  
"
701,"""|PMS Lagi|RBW ko|PRS silang|PRP_CCP hinahabol|VBTR kapag|CCR kinukuha|VBTR nila|PRP ang|DTC ulam|NNC ko|PRS ,|PMC ""|PMS sumbong|VBAF ni|DTP Edu|NNP .|PMP  
"
702,"""|PMS Pasensya|NNP ka|PRS na|CCP ,|PMC Edu|NNP .|PMP
"
703,"Salamat|RBS at|CCA hindi|RBF mo|PRS ako|PRS hinabol|VBOF .|PMP ""|PMS  
"
704,"""|PMS Ganyan|NNP nga|RBI ,|PMC Muning|NNP at|CCA Edu|NNP ,|PMC ""|PMS sabi|VBS ni|DTP Ben|NNP .|PMP  
"
705,"""|PMS Dapat|VBS magkaibigan|NNC kayo|PRP dahil|CCR mga|DTCP alaga|NNC ko|PRS kayo|PRP .|PMP  
"
706,"""|PMS May|VBH narinig|VBTS na|CCP boses|NNC si|DTP Muning|NNP .|PMP  
"
707,"""|PMS Tulong|NNC !|PMS
"
708,"Tulong|NNC !|PMS  
"
709,"""|PMS sabi|VBS ng|CCB boses|NNC .|PMP
"
710,"Nakita|VBTS ni|DTP Muning|NNP na|CCP may|VBH naipit|VBTS na|CCP daga|NNC sa|CCT bitag|NNC .|PMP
"
711,"Lumapit|VBAF si|DTP Muning|NNP .|PMP
"
712,"Umikot|NNP -|PMS ikot|NNC sa|CCT bitag|NNC .|PMP
"
713,"Kinain|VBOF pala|NNC ng|CCB daga|NNC ang|DTC keso|NNC sa|CCT bitag|NNC .|PMP
"
714,"Naipit|VBTS ito|PRO at|CCA nasugatan|VBTS .|PMP
"
715,"Natakot|VBTS ang|DTC daga|NNC nang|RBW lumapit|VBAF si|DTP Muning|NNP .|PMP
"
716,"Alam|VBS niyang|PRS_CCP pusa|NNC si|DTP Muning|NNP .|PMP
"
717,"Ngunit|CCT sa|CCT tingin|NNC niya|PRS ay|LM mabait|JJD naman|RBI ito|PRO .|PMP  
"
718,"""|PMS Ako|PRS si|DTP Mikoy|NNP .|PMP
"
719,"Maawa|VBTF ka|PRS ,|PMC huwag|RBF mo|PRS akong|PRS_CCP kainin|VBOF .|PMP ""|PMS  
"
720,"""|PMS Huwag|RBF kang|PRS_CCP matakot|VBW ,|PMC Mikoy|NNP .|PMP
"
721,"Ako|PRS si|DTP Muning|NNP .|PMP
"
722,"Nandito|VBTS ako|PRS para|CCT tulungan|VBTF_VBOF ka|PRS .|PMP  
"
723,"""|PMS Nagpagulong|VBTS -|PMS gulong|NNC si|DTP Muning|NNP sa|CCT damuhan|NNC .|PMP
"
724,"Tumalon|NNP -|PMS talon|NNC sa|CCT mga|DTCP bulaklak|NNC .|PMP
"
725,"Ay|NNP !|PMS
"
726,"May|VBH naapakan|VBTS siya|PRS !|PMQ
"
727,"Maliit|JJD na|CCP ibon|NNC .|PMP
"
728,"Inamoy|VBTS niya|PRS .|PMP  
"
729,"""|PMS Naku|NNP ,|PMC parang|CCT patay|JJD na|CCP !|PMS  
"
730,"""|PMS Pinulot|VBTS niya|PRS ito|PRO at|CCA dinala|VBTS sa|CCT bahay|NNC .|PMP  
"
731,"""|PMS Huwag|RBF !|PMS
"
732,"Huwag|RBF mo|PRS akong|PRS_CCP kainin|VBOF !|PMS  
"
733,"""|PMS sabi|VBS ng|CCB ibon|NNC nang|RBW magkamalay|VBW ito|PRO .|PMP  
"
734,"""|PMS Payat|JJD ako|PRS ,|PMC matitinik|JJD o|CCT mabubulunan|VBTF ka|PRS lang|RBI .|PMP ""|PMS  
"
735,"""|PMS Hindi|RBF kita|NNC kakainin|VBTF .|PMP
"
736,"Ako|PRS si|DTP Muning|NNP .|PMP
"
737,"Anong|PRQ_CCP pangalan|NNC mo|PRS ?|PMQ  
"
738,"""|PMS tanong|NNC ni|DTP Muning|NNP .|PMP  
"
739,"""|PMS A|NNPA -|PMS ako|PRS si|DTP T|NNPA -|PMS tamsi|FW ,|PMC ""|PMS nanginginig|VBTR na|CCP sagot|NNC ng|CCB ibon|NNC .|PMP  
"
740,"""|PMS Akala|VBS ko|PRS patay|JJD ka|PRS na|CCP ,|PMC ""|PMS sabi|VBS ni|DTP Muning|NNP .|PMP  
"
741,"""|PMS Nawalan|VBTS ako|PRS ng|CCB malay|NNC dahil|CCR nabangga|VBTR ako|PRS sa|CCT puno|NNC at|CCA nahulog|VBTS .|PMP
"
742,"Sandali|RBW lang|RBI ,|PMC nasaan|JJD ako|PRS ?|PMQ ""|PMS  
"
743,"""|PMS Nandito|VBTS ka|PRS sa|CCT aming|PRSP_CCP bahay|NNC .|PMP
"
744,"Sige|NNP ,|PMC Magpahinga|VBW ka|PRS muna|RBI ,|PMC ""|PMS sagot|NNC ni|DTP Muning|NNP .|PMP
"
745,"Isang|PRI_CCP araw|NNC ,|PMC namasyal|VBTS si|DTP Muning|NNP sa|CCT katabing|JJD_CCP bakuran|NNC .|PMP
"
746,"Nakakita|VBTS siya|PRS ng|CCB isang|PRI_CCP mahabang|JJD_CCP bagay|NNC .|PMP
"
747,"Gumagapang|NNP_CCP ito|PRO sa|CCT damuhan|NNC .|PMP  
"
748,"""|PMS Sssss|NNP ...|PMS Sssss|NNP ...|PMS ""|PMS ang|DTC tunog|NNC ng|CCB hayop|NNC ,|PMC iyon|PRO pala|NNC ahas|NNC !|PMS
"
749,"Sinundan|VBTS ni|DTP Muning|NNP ang|DTC ahas|NNC .|PMP
"
750,"Pumunta|VBAF ito|PRO sa|CCT kahoy|NNC .|PMP
"
751,"Gumapang|NNP_CCP pataas|NNC ng|CCB puno|NNC .|PMP
"
752,"Inakyat|VBTS din|RBI ni|DTP Muning|NNP ang|DTC puno|NNC .|PMP
"
753,"May|VBH pugad|NNC dito|PRL .|PMP
"
754,"Dahan|NNP -|PMS dahang|NNC_CCP pinasok|VBOF ng|CCB ahas|NNC ang|DTC pugad|NNC .|PMP  
"
755,"""|PMS Hoy|NNP !|PMS
"
756,"Anong|PRQ_CCP ginagawa|VBTR_VBOF mo|PRS diyan|PRL ?|PMQ  
"
757,"""|PMS sigaw|NNC ni|DTP Muning|NNP .|PMP  
"
758,"""|PMS Wala|VBN kang|PRS_CCP pakialam|NNC dito|PRL ,|PMC pusa|NNC .|PMP
"
759,"Umalis|VBAF ka|PRS na|CCP baka|RBM ikaw|PRS pa|RBI ang|DTC puluputan|NNC ko|PRS ,|PMC ""|PMS sagot|NNC ng|CCB ahas|NNC .|PMP  
"
760,"""|PMS Maawa|VBTF ka|PRS sa|CCT may|VBH -|PMS ari|NNC ng|CCB pugad|NNC .|PMP
"
761,"Baka|NNP may|VBH mga|DTCP inakay|VBTS o|CCT itlog|NNC diyan|PRL ,|PMC ""|PMS pagmamakaawa|NNC ni|DTP Muning|NNP .|PMP  
"
762,"""|PMS Wala|VBN kang|PRS_CCP magagawa|VBTF dahil|CCR nagugutom|VBTR ako|PRS ,|PMC ""|PMS sabi|VBS ng|CCB ahas|NNC .|PMP  
"
763,"""|PMS Punta|NNP ka|PRS nalang|VBTS sa|CCT aming|PRSP_CCP bahay|NNC ,|PMC may|VBH pagkain|NNC kaming|PRP_CCP masasarap|VBW ,|PMC ""|PMS pag|CCR -|PMS aaya|NNC ni|DTP Muning|NNP .|PMP  
"
764,"""|PMS Sssss|NNP ...|PMS talaga|RBT ba|RBI ?|PMQ
"
765,"Hindi|RBF ako|PRS aayaw|VBTF ,|PMC ""|PMS sabi|VBS ng|CCB ahas|NNC .|PMP
"
766,"Sa|CCT isip|NNC niya|PRS ’|PMS y|FW ,|PMC ""|PMS Hmmm|FW ,|PMC mas|JJCC masarap|JJD ang|DTC pusa|NNC kesa|NNC sa|CCT itlog|NNC ,|PMC hihihi|NNC .|PMP  
"
767,"""|PMS Pagpasok|NNC nila|PRP ng|CCB bahay|NNC ay|LM pupuluputan|RBD na|CCP sana|VBS ng|CCB ahas|NNC si|DTP Muning|NNP .|PMP
"
768,"Dumating|VBAF ang|DTC dagang|NNC_CCP si|DTP Mikoy|NNP .|PMP
"
769,"Kinagat|VBTS nito|PRO ang|DTC buntot|NNC ng|CCB ahas|NNC at|CCA tumakbo|VBAF palabas|NNC .|PMP
"
770,"Galit|JJD na|CCP sumunod|VBAF ang|DTC ahas|NNC .|PMP
"
771,"Naabutan|VBTR ng|CCB ahas|NNC si|DTP Mikoy|NNP sa|CCT kabilang|JJD_CCP bakuran|NNC .|PMP  
"
772,"""|PMS Kawawa|NNP ka|PRS ngayon|RBW ,|PMC daga|NNC .|PMP
"
773,"Hindi|RBF ka|PRS na|CCP makakawala|VBW ,|PMC ""|PMS sabi|VBS ng|CCB ahas|NNC .|PMP
"
774,"Dumating|VBAF si|DTP Edu|NNP at|CCA Muning|NNP !|PMS
"
775,"Dala|VBS -|PMS dala|JJD ni|DTP Muning|NNP ang|DTC pulang|JJD_CCP sinulid|NNC .|PMP  
"
776,"""|PMS Dali|NNP ,|PMC Edu|NNP !|PMS
"
777,"Itali|NNP natin|PRP ang|DTC ahas|NNC para|CCT di|RBF siya|PRS makagalaw|VBTF !|PMS  
"
778,"""|PMS sigaw|NNC ni|DTP Muning|NNP sa|CCT aso|NNC .|PMP
"
779,"Ihinagis|VBTS ni|DTP Muning|NNP ang|DTC sinulid|NNC pataas|NNC .|PMP
"
780,"Tinuka|VBOF ni|DTP Tamsi|NNP ang|DTC dulo|NNC ng|CCB sinulid|NNC .|PMP
"
781,"Ipinasa|VBOF naman|RBI nito|PRO ang|DTC sinulid|NNC kay|DTP Edu|NNP .|PMP
"
782,"Sinalo|VBOF ni|DTP Edu|NNP at|CCA umikot|VBAF -|PMS ikot|NNC sa|CCT ahas|NNC upang|CCB mapuluputan|VBW ito|PRO ng|CCB sinulid|NNC .|PMP
"
783,"Muntik|JJD pang|RBI_CCP makawala|VBW ang|DTC ahas|NNC ,|PMC ngunit|CCT kinagat|VBOF at|CCA hinigpitan|VBOF pa|RBI ni|DTP Mikoy|NNP ang|DTC sinulid|NNC sa|CCT kaniyang|PRSP_CCP katawan|NNC .|PMP
"
784,"Hanggang|RBW sa|CCT di|RBF na|CCP makagalaw|JJD ang|DTC ahas|NNC .|PMP
"
785,"Mula|RBW sa|CCT bintana|NNC ay|LM natanaw|VBTS ni|DTP Ben|NNP ang|DTC mga|DTCP nangyari|VBTS .|PMP
"
786,"Kumuha|VBAF siya|PRS agad|RBW ng|CCB sako|NNC at|CCA dali|NNC -|PMS daling|RBD_CCP tumungo|VBAF sa|CCT kabilang|JJD_CCP bakuran|NNC .|PMP
"
787,"Hinawakan|VBOF niya|PRS ang|DTC ahas|NNC na|CCP pinuluputan|VBTR ng|CCB sinulid|NNC at|CCA maingat|RBD na|CCP ipinasok|VBOF sa|CCT sako|NNC .|PMP  
"
788,"""|PMS Kawawa|NNP ka|PRS naman|RBI ,|PMC ""|PMS sabi|VBS ni|DTP Ben|NNP sa|CCT ahas|NNC .|PMP  
"
789,"""|PMS Dadalhin|VBTF kita|NNC sa|CCT animal|FW rescue|FW center|FW .|PMP  
"
790,"""|PMS Nagdiwang|VBTS si|DTP Muning|NNP at|CCA ang|DTC mga|DTCP kaibigang|NNC_CCP hayop|NNC .|PMP
"
791,"Napalitan|VBTS ng|CCB saya|NNC ang|DTC nakakatakot|VBTR na|CCP kaganapan|NNC kanina|RBW .|PMP
"
792,"Nagpasalamat|VBTR sila|PRP na|CCP walang|VBN_CCP nakain|VBTS ang|DTC ahas|NNC na|CCP sinuman|PRQ sa|CCT kanila|PRSP .|PMP
"
793,"Nagising|VBTS si|DTP Budang|NNP sa|CCT mabangong|JJD_CCP amoy|NNC ng|CCB niluluto|VBTR ni|DTP Nanay|NNP Isay|NNP .|PMP
"
794,"Pagkatapos|VBW niyang|PRS_CCP bumangon|VBAF ay|LM agad|RBD -|PMS agad|RBD siyang|PRS_CCP dumiretso|VBAF sa|CCT kusina|NNC .|PMP  
"
795,"""|PMS Ano|PRQ ang|DTC niluluto|VBTR mo|PRS ,|PMC Nanay|NNC ?|PMQ ""|PMS  
"
796,"""|PMS A|NNPA !|PMS
"
797,"Sinaing|NNP iyan|PRO na|CCP may|VBH dahon|NNC ng|CCB pandan|NNC ,|PMC ""|PMS sagot|NNC ni|DTP Nanay|NNP Isay|NNP .|PMP  
"
798,"""|PMS Daing|NNP at|CCA kamatis|NNC ang|DTC ulam|NNC natin|PRP ?|PMQ
"
799,"Mapaparami|NNP na|CCP naman|RBI ang|DTC kain|NNC ko|PRS nito|PRO ,|PMC lalo|JJCC pa|RBI at|CCA ikaw|PRS ang|DTC nagluto|VBTS ,|PMC Nanay|NNC !|PMS ""|PMS  
"
800,"""|PMS Oo|RBT .|PMP
"
801,"Kumuha|VBAF ka|PRS na|CCP ng|CCB mga|DTCP plato|NNC ,|PMC kutsara|NNC ,|PMC at|CCA tinidor|NNC .|PMP
"
802,"Tawagin|VBTF_VBOF mo|PRS na|RBI rin|RBI ang|DTC Tatay|NNC mo|PRS at|CCA mag|VBW -|PMS almusal|FW na|CCP tayo|PRP .|PMP ""|PMS  
"
803,"""|PMS Budang|NNP ,|PMC pag|CCR -|PMS aralan|NNC mo|PRS na|CCP kung|RBK paano|RBQ magsaing|VBW .|PMP
"
804,"Kung|CCR wala|VBN kami|PRP dito|PRL ng|CCB Nanay|NNC mo|PRS sa|CCT bahay|NNC ,|PMC ay|LM dapat|VBS marunong|JJD ka|PRS nang|RBW magluto|VBW ng|CCB iyong|PRSP_CCP pagkain|NNC ,|PMC ""|PMS sabi|VBS ni|DTP Tatay|NNP Dodong|NNP .|PMP  
"
805,"""|PMS Gusto|VBS ko|PRS po|RBS talaga|RBT na|CCP matutunan|VBW ang|DTC pagsaing|NNC at|CCA pagluto|NNC !|PMS  
"
806,"""|PMS sagot|NNC ni|DTP Budang|NNP .|PMP
"
807,"Pagkatanghali|NNP ,|PMC pinaghanda|VBTR_VBRF ni|DTP Nanay|NNP Isay|NNP si|DTP Budang|NNP ng|CCB <I>|NNPA kararaw|NNC </I>|NNPA at|CCA kaldero|NNC .|PMP  
"
808,"""|PMS Kumuha|VBAF ka|PRS ng|CCB isang|PRI_CCP lata|NNC ng|CCB bigas|NNC at|CCA ilagay|VBOF mo|PRS ito|PRO sa|CCT kararaw|NNC .|PMP
"
809,"Tamang|JJD_CCP -|PMS tama|JJD lang|RBI ang|DTC isang|PRI_CCP latang|NNC_CCP bigas|NNC para|CCT sa|CCT ating|PRSP_CCP dalawa|CDB .|PMP
"
810,"Tahipan|NNP ang|DTC bigas|NNC sa|CCT pamamagitan|NNC ng|CCB paghagis|NNC ng|CCB bigas|NNC sa|CCT hangin|NNC at|CCA pagsalo|NNC gamit|VBS ang|DTC kararaw|NNC upang|CCB maihiwalay|VBW ang|DTC ipa|FW o|CCT binlid|FW ,|PMC at|CCA mga|DTCP maliliit|JJD na|CCP bato|NNC .|PMP  
"
811,"""|PMS Pinakita|VBTS niya|PRS kay|DTP Budang|NNP kung|RBK paano|RBQ ito|PRO gawin|VBOF .|PMP  
"
